CLS,,,L_1,L_FEM,L_PLUR;Ppcsa1-fp,Ppcsp1-fp,Ppdsa1-fp,Ppdsp1-fp,Ps-s-1sfp,Ps-s-1pfp
CLS,,,L_1,L_FEM,L_SING;Ppcsa1-fs,Ppcsp1-fs,Ppdsa1-fs,Ppdsp1-fs,Ps-s-1sfs,Ps-s-1pfs
CLS,,,L_1,L_MASC,L_PLUR;Ppcsa1-mp,Ppcsp1-mp,Ppdsa1-mp,Ppdsp1-mp,Ps-s-1smp,Ps-s-1pmp
CLS,,,L_1,L_MASC,L_SING;Ppcsa1-ms,Ppcsp1-ms,Ppdsa1-ms,Ppdsp1-ms,Ps-s-1sms,Ps-s-1pms
CLS,,,L_2,L_FEM,L_PLUR;Ppcsa2-fp,Ppcsp2-fp,Ppdsa2-fp,Ppdsp2-fp,Ps-s-2sfp,Ps-s-2pfp
CLS,,,L_2,L_FEM,L_SING;Ppcsa2-fs,Ppcsp2-fs,Ppdsa2-fs,Ppdsp2-fs,Ps-s-2sfs,Ps-s-2pfs
CLS,,,L_2,L_MASC,L_PLUR;Ppcsa2-mp,Ppcsp2-mp,Ppdsa2-mp,Ppdsp2-mp,Ps-s-2smp,Ps-s-2pmp
CLS,,,L_2,L_MASC,L_SING;Ppcsa2-ms,Ppcsp2-ms,Ppdsa2-ms,Ppdsp2-ms,Ps-s-2sms,Ps-s-2pms
CLS,,,L_3,L_FEM,L_PLUR;Ppcsa3-fp,Ppcsp3-fp,Ppdsa3-fp,Ppdsp3-fp,Ps-s-3pfp
CLS,,,L_3,L_FEM,L_SING;Ppcsa3-fs,Ppcsp3-fs,Ppdsa3-fs,Ppdsp3-fs,Ps-s-3sfs,Ps-s-3sfp,Ps-s-3pfs
CLS,,,L_3,L_MASC,L_PLUR;Ppcsa3-mp,Ppcsp3-mp,Ppdsa3-mp,Ppdsp3-mp,Ps-s-3smp,Ps-s-3pmp
CLS,,,L_3,L_MASC,L_SING;Ppcsa3-ms,Ppcsp3-ms,Ppdsa3-ms,Ppdsp3-ms,Ps-s-3sms,Ps-s-3pms
CLS,,,L_3,,L_SING;Ppcsa3--s
CLS,,,,L_FEM,L_SING;Ppcsa--fs
CLS,,,,L_MASC,L_SING;Ppcsa--ms
CLS,,,,,;Ppcsa----
CS,,,,,;Cs
DET,,,,,;Dad,Dai,Dac,Dap,Ds,Dd,Di,Dk,Da----d,Da----c,Dk-----
DET,,,L_1,L_FEM,L_PLUR;Ds1sfp-,Ds1pfp-
DET,,,L_1,L_FEM,L_SING;Ds1sfs-,Ds1pfs-
DET,,,L_1,L_MASC,L_PLUR;Ds1smp-,Ds1pmp-
DET,,,L_1,L_MASC,L_SING;Ds1sms-,Ds1pms-
DET,,,L_2,L_FEM,L_PLUR;Ds2sfp-,Ds2pfp-
DET,,,L_2,L_FEM,L_SING;Ds2sfs-,Ds2pfs-
DET,,,L_2,L_MASC,L_PLUR;Ds2smp-,Ds2pmp-
DET,,,L_2,L_MASC,L_SING;Ds2sms-,Ds2pms-
DET,,,L_3,L_FEM,L_PLUR;Ds3sfp-,Ds3pfp-
DET,,,L_3,L_FEM,L_SING;Ds3sfs-,Ds3pfs-
DET,,,L_3,L_MASC,L_PLUR;Ds3smp-,Ds3pmp-
DET,,,L_3,L_MASC,L_SING;Ds3sms-,Ds3pms-
DET,,,,L_FEM,L_PLUR;Da--fpd,Da--fpi,Da--fpc,Da--fpp,Dd--fp-,Di--fp-,Dk--fp-,De--fp-,Dr--fp-,Defp,Drfp
DET,,,,L_FEM,L_SING;Da--fsd,Da--fsi,Da--fsc,Da--fsp,Dd--fs-,Di--fs-,Dk--fs-,De--fs-,Dr--fs-,Defs,Drfs
DET,,,,L_MASC,L_PLUR;Da--mpd,Da--mpi,Da--mpc,Da--mpp,Dd--mp-,Di--mp-,Dk--mp-,De--mp-,Dr--mp-,Demp,Drmp
DET,,,,L_MASC,L_SING;Da--msd,Da--msi,Da--msc,Da--msp,Dd--ms-,Di--ms-,Dk--ms-,De--ms-,Dr--ms-,Dems,Drms
DET,,,,,L_PLUR;Da---pc
DETWH,,,,L_FEM,L_PLUR;Dt--fp-,Dtfp
DETWH,,,,L_FEM,L_SING;Dt--fs-,Dtfs
DETWH,,,,L_MASC,L_PLUR;Dt--mp-,Dtmp
DETWH,,,,L_MASC,L_SING;Dt--ms-,Dtms
I,,,,,;I
NC,,,,L_FEM,L_PLUR;Ncgfp-,Nczfp-,Ncufp-,Nckfp-,Ncofp-,Ncafpn,Ncafpe
NC,,,,L_FEM,L_SING;Ncgfs-,Nczfs-,Ncufs-,Nckfs-,Ncofs-,Ncafsn,Ncafse
NC,,,,L_FEM,;Ncaf-n,Ncgf--,Ncuf--
NC,,,,L_MASC,L_PLUR;Ncgmp-,Nczmp-,Ncump-,Nckmp-,Ncomp-,Ncampn,Ncampe
NC,,,,L_MASC,L_SING;Ncgms-,Nczms-,Ncums-,Nckms-,Ncoms-,Ncamsn,Ncamse
NC,,,,L_MASC,;Ncam-n,Ncgm--,Ncum--
NC,,,,,;Nci
NPP,,,,L_FEM,L_PLUR;Npgfp-,Nppfp-
NPP,,,,L_FEM,L_SING;Npgfs-,Nppfs-
NPP,,,,L_FEM,;Npgf--
NPP,,,,L_MASC,L_PLUR;Npgmp-,Nppmp-
NPP,,,,L_MASC,L_SING;Npgms-,Nppms-
NPP,,,,L_MASC,;Npgm--
NPP,,,,,L_PLUR;Npg-p-
NPP,,,,,L_SING;Npg-s-
PONCT,,,,,;Fa,Fp,Fd,Fe,Fr,Ft
PONCTU_FORTE,,,,,;Ff
PREF,,,,,;Ep
PRO,,,L_3,L_FEM,L_PLUR;Pi-----fp
PRO,,,L_3,L_FEM,L_SING;Pi-----fs
PRO,,,L_3,L_MASC,L_PLUR;Pi-----mp
PRO,,,L_3,L_MASC,L_SING;Pi-----ms
PRO,,,,L_FEM,L_PLUR;Pd-----fp,Pn-----fp,Pk-----fp
PRO,,,,L_FEM,L_SING;Pd-----fs,Pn-----fs,Pk-----fs
PRO,,,,L_GEN_NEUTRE,L_NUM_NEUTRE;Pd-----nn
PRO,,,,L_MASC,L_PLUR;Pd-----mp,Pn-----mp,Pk-----mp
PRO,,,,L_MASC,L_SING;Pd-----ms,Pn-----ms,Pk-----ms
PRO,,,,,L_SING;Pi------s
PRO,,,,,;Pi-------,Pn-------
PROREL,,,,L_FEM,L_PLUR;Pr-s---fp,Pr-d---fp,Pr-i---fp,Pr-n---fp,Pr-b---fp,Pr-r---fp
PROREL,,,,L_FEM,L_SING;Pr-s---fs,Pr-d---fs,Pr-i---fs,Pr-n---fs,Pr-b---fs,Pr-r---fs
PROREL,,,,L_MASC,L_PLUR;Pr-s---mp,Pr-d---mp,Pr-i---mp,Pr-n---mp,Pr-b---mp,Pr-r---mp
PROREL,,,,L_MASC,L_SING;Pr-s---ms,Pr-d---ms,Pr-i---ms,Pr-n---ms,Pr-b---ms,Pr-r---ms
PROWH,,,,L_FEM,L_PLUR;Pt-s---fp,Pt-d---fp,Pt-i---fp,Pt-n---fp,Pt-b---fp,Pt-r---fp
PROWH,,,,L_FEM,L_SING;Pt-s---fs,Pt-d---fs,Pt-i---fs,Pt-n---fs,Pt-b---fs,Pt-r---fs
PROWH,,,,L_MASC,L_PLUR;Pt-s---mp,Pt-d---mp,Pt-i---mp,Pt-n---mp,Pt-b---mp,Pt-r---mp
PROWH,,,,L_MASC,L_SING;Pt-s---ms,Pt-d---ms,Pt-i---ms,Pt-n---ms,Pt-b---ms,Pt-r---ms
P,,,,,;Sg,Sn,Sr,Sp,Ss
U,,,,,;Ea
VIMP,L_IMPERS,L_PRES,L_1,,L_PLUR;Vpmpm1-p
VIMP,L_IMPERS,L_PRES,L_2,,L_PLUR;Vpmpm2-p
VIMP,L_IMPERS,L_PRES,L_2,,L_SING;Vpmpm2-s
VIMP,L_INTRANS,L_PASS,L_1,,L_PLUR;Vpmsi1-p
VIMP,L_INTRANS,L_PASS,L_2,,L_PLUR;Vpmsi2-p
VIMP,L_INTRANS,L_PASS,L_2,,L_SING;Vpmsi2-s
VIMP,L_INTRANS,L_PRES,L_1,,L_PLUR;Vpmpi1-p
VIMP,L_INTRANS,L_PRES,L_2,,L_PLUR;Vpmpi2-p
VIMP,L_INTRANS,L_PRES,L_2,,L_SING;Vpmpi2-s
