NONE_1	L_NONE_1
Nig4	L_GE_INF_NOMINAL_GENERAL_ACCUSATIF
Nin1	L_GE_INF_NOMINAL_COORDONNE_A_DET_NOM_NOMINATIF
Nin2	L_GE_INF_NOMINAL_COORDONNE_A_DET_NOM_GENITIF
Nin3	L_GE_INF_NOMINAL_COORDONNE_A_DET_NOM_DATIF
Nin4	L_GE_INF_NOMINAL_COORDONNE_A_DET_NOM_ACCUSATIF
Nip1	L_GE_INF_NOMINAL_APPOSITION_A_NC_NOMINATIF
Nip2	L_GE_INF_NOMINAL_APPOSITION_A_NC_GENITIF
Nip3	L_GE_INF_NOMINAL_APPOSITION_A_NC_DATIF
Nip4	L_GE_INF_NOMINAL_APPOSITION_A_NC_ACCUSATIF
Np-1	L_GE_NOM_PROPRE_NOMINATIF
Np-2	L_GE_NOM_PROPRE_GENITIF
Np-3	L_GE_NOM_PROPRE_DATIF
Np-4	L_GE_NOM_PROPRE_ACCUSATIF
Np-e	L_GE_NOM_PROPRE_GENITIF_PRENOMINAL
Np-o	L_GE_NOM_PROPRE_GENITIF_POSTNOMINAL
Dn1	L_GE_DETERMINANT_AVANT_GN_NOMINATIF
Dn2	L_GE_DETERMINANT_AVANT_GN_GENITIF
Dn3	L_GE_DETERMINANT_AVANT_GN_DATIF
Dn4	L_GE_DETERMINANT_AVANT_GN_ACCUSATIF
Ds1	L_GE_DETERMINANT_INTRO_SUB_NOMINATIF
Ds2	L_GE_DETERMINANT_INTRO_SUB_GENITIF
Ds3	L_GE_DETERMINANT_INTRO_SUB_DATIF
Ds4	L_GE_DETERMINANT_INTRO_SUB_ACCUSATIF
Pa--	L_GE_PRONOM_ADVERBIAL
Pd-1	L_GE_PRONOM_DEPENDANT_NOMINATIF
Pd-2	L_GE_PRONOM_DEPENDANT_GENITIF
Pd-3	L_GE_PRONOM_DEPENDANT_DATIF
Pd-4	L_GE_PRONOM_DEPENDANT_ACCUSATIF
Pe--	L_GE_PRONOM_PLUS_PREPOSITION
Pf-3	L_GE_PRONOM_REFLECHI/RECIPROQUE_DATIF
Pf-4	L_GE_PRONOM_REFLECHI/RECIPROQUE_ACCUSATIF
Pl-1	L_GE_PRONOM_IMPERSONNEL_NOMINATIF
Plz1	L_GE_PRONOM_IMPERSONNEL_SUJET_ZERO_NOMINATIF
Pp-1	L_GE_PRONOM_PERSONNEL/DEMONSTRATIF/POSSESSIF/INDEFINI/NEGATIF_NOMINATIF
Pp-2	L_GE_PRONOM_PERSONNEL/DEMONSTRATIF/POSSESSIF/INDEFINI/NEGATIF_GENITIF
Pp-3	L_GE_PRONOM_PERSONNEL/DEMONSTRATIF/POSSESSIF/INDEFINI/NEGATIF_DATIF
Pp-4	L_GE_PRONOM_PERSONNEL/DEMONSTRATIF/POSSESSIF/INDEFINI/NEGATIF_ACCUSATIF
Pq--	L_GE_PRONOM_QUANTIFICATEUR
Pq-1	L_GE_PRONOM_QUANTIFICATEUR_NOMINATIF
Pq-2	L_GE_PRONOM_QUANTIFICATEUR_GENITIF
Pq-3	L_GE_PRONOM_QUANTIFICATEUR_DATIF
Pq-4	L_GE_PRONOM_QUANTIFICATEUR_ACCUSATIF
Pri-	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_INTERROGATION_DIRECTE_ADVERBIAL
Pri1	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_INTERROGATION_DIRECTE_NOMINATIF
Pri2	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_INTERROGATION_DIRECTE_GENITIF
Pri3	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_INTERROGATION_DIRECTE_DATIF
Pri4	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_INTERROGATION_DIRECTE_ACCUSATIF
Prs-	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_SUB_ADVERBIAL
Prs1	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_SUB_NOMINATIF
Prs2	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_SUB_GENITIF
Prs3	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_SUB_DATIF
Prs4	L_GE_PRONOM_RELATIF/INTERROGATIF_INTRO_SUB_ACCUSATIF
AC1	L_GE_ADJECTIF_DANS_MOT_COMPOSE_POSITION_INITIALE
AC2	L_GE_ADJECTIF_DANS_MOT_COMPOSE_POSITION_INTERMEDIAIRE
AC3	L_GE_ADJECTIF_DANS_MOT_COMPOSE_POSITION_FINALE
Aedk1	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_COMPARATIF_NOMINATIF
Aedk2	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_COMPARATIF_GENITIF
Aedk3	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_COMPARATIF_DATIF
Aedk4	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_COMPARATIF_ACCUSATIF
Aedo1	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_POSITIF_NOMINATIF
Aedo2	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_POSITIF_GENITIF
Aedo3	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_POSITIF_DATIF
Aedo4	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_POSITIF_ACCUSATIF
Aeds1	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_SUPERLATIF_NOMINATIF
Aeds2	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_SUPERLATIF_GENITIF
Aeds3	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_SUPERLATIF_DATIF
Aeds4	L_GE_ADJECTIF_PARTICIPE_PASSE_DETACHE_SUPERLATIF_ACCUSATIF
Aeek-	L_GE_ADJECTIF_PARTICIPE_PASSE_PREDICATIF_ELLIPSE_VERBALE_COMPARATIF
Aeeo-	L_GE_ADJECTIF_PARTICIPE_PASSE_PREDICATIF_ELLIPSE_VERBALE_POSITIF
Aees-	L_GE_ADJECTIF_PARTICIPE_PASSE_PREDICATIF_ELLIPSE_VERBALE_SUPERLATIF
Aehk1	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_COMPARATIF_NOMINATIF
Aehk2	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_COMPARATIF_GENITIF
Aehk3	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_COMPARATIF_DATIF
Aehk4	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_COMPARATIF_ACCUSATIF
Aeho1	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_POSITIF_NOMINATIF
Aeho2	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_POSITIF_GENITIF
Aeho3	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_POSITIF_DATIF
Aeho4	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_POSITIF_ACCUSATIF
Aehs1	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_SUPERLATIF_NOMINATIF
Aehs2	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_SUPERLATIF_GENITIF
Aehs3	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_SUPERLATIF_DATIF
Aehs4	L_GE_ADJECTIF_PARTICIPE_PASSE_APPOSITION_A_GN_SUPERLATIF_ACCUSATIF
Aepk-	L_GE_ADJECTIF_PARTICIPE_PASSE_PREDICATIF_COMPARATIF
Aepo-	L_GE_ADJECTIF_PARTICIPE_PASSE_PREDICATIF_POSITIF
Aeps-	L_GE_ADJECTIF_PARTICIPE_PASSE_PREDICATIF_SUPERLATIF
Afdk1	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_COMPARATIF_NOMINATIF
Afdk2	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_COMPARATIF_GENITIF
Afdk3	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_COMPARATIF_DATIF
Afdk4	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_COMPARATIF_ACCUSATIF
Afdo1	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_POSITIF_NOMINATIF
Afdo2	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_POSITIF_GENITIF
Afdo3	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_POSITIF_DATIF
Afdo4	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_POSITIF_ACCUSATIF
Afds1	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_SUPERLATIF_NOMINATIF
Afds2	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_SUPERLATIF_GENITIF
Afds3	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_SUPERLATIF_DATIF
Afds4	L_GE_ADJECTIF_QUALIFICATIF_DETACHE_SUPERLATIF_ACCUSATIF
Afek-	L_GE_ADJECTIF_QUALIFICATIF_PREDICATIF_ELLIPSE_VERBALE_COMPARATIF
Afeo-	L_GE_ADJECTIF_QUALIFICATIF_PREDICATIF_ELLIPSE_VERBALE_POSITIF
Afes-	L_GE_ADJECTIF_QUALIFICATIF_PREDICATIF_ELLIPSE_VERBALE_SUPERLATIF
Afhk1	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_COMPARATIF_NOMINATIF
Afhk2	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_COMPARATIF_GENITIF
Afhk3	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_COMPARATIF_DATIF
Afhk4	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_COMPARATIF_ACCUSATIF
Afho1	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_POSITIF_NOMINATIF
Afho2	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_POSITIF_GENITIF
Afho3	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_POSITIF_DATIF
Afho4	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_POSITIF_ACCUSATIF
Afhs1	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_SUPERLATIF_NOMINATIF
Afhs2	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_SUPERLATIF_GENITIF
Afhs3	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_SUPERLATIF_DATIF
Afhs4	L_GE_ADJECTIF_QUALIFICATIF_APPOSITION_A_GN_SUPERLATIF_ACCUSATIF
Afpk-	L_GE_ADJECTIF_QUALIFICATIF_PREDICATIF_COMPARATIF
Afpo-	L_GE_ADJECTIF_QUALIFICATIF_PREDICATIF_POSITIF
Afps-	L_GE_ADJECTIF_QUALIFICATIF_PREDICATIF_SUPERLATIF
Akd--	L_GE_ADJECTIF_CARDINAL_DETACHE
Akd-1	L_GE_ADJECTIF_CARDINAL_DETACHE_NOMINATIF
Akd-2	L_GE_ADJECTIF_CARDINAL_DETACHE_GENITIF
Akd-3	L_GE_ADJECTIF_CARDINAL_DETACHE_DATIF
Akd-4	L_GE_ADJECTIF_CARDINAL_DETACHE_ACCUSATIF
Ake--	L_GE_ADJECTIF_CARDINAL_PREDICATIF_ELLIPSE_VERBALE
Ake-1	L_GE_ADJECTIF_CARDINAL_PREDICATIF_ELLIPSE_VERBALE_NOMINATIF
Ake-2	L_GE_ADJECTIF_CARDINAL_PREDICATIF_ELLIPSE_VERBALE_GENITIF
Ake-3	L_GE_ADJECTIF_CARDINAL_PREDICATIF_ELLIPSE_VERBALE_DATIF
Ake-4	L_GE_ADJECTIF_CARDINAL_PREDICATIF_ELLIPSE_VERBALE_ACCUSATIF
Akh--	L_GE_ADJECTIF_CARDINAL_APPOSITION_A_GN
Akh-1	L_GE_ADJECTIF_CARDINAL_APPOSITION_A_GN_NOMINATIF
Akh-2	L_GE_ADJECTIF_CARDINAL_APPOSITION_A_GN_GENITIF
Akh-3	L_GE_ADJECTIF_CARDINAL_APPOSITION_A_GN_DATIF
Akh-4	L_GE_ADJECTIF_CARDINAL_APPOSITION_A_GN_ACCUSATIF
Ako--	L_GE_ADJECTIF_CARDINAL
Ako-1	L_GE_ADJECTIF_CARDINAL_NOMINATIF
Ako-2	L_GE_ADJECTIF_CARDINAL_GENITIF
Ako-3	L_GE_ADJECTIF_CARDINAL_DATIF
Ako-4	L_GE_ADJECTIF_CARDINAL_ACCUSATIF
Akp--	L_GE_ADJECTIF_CARDINAL_PREDICATIF
Akp-1	L_GE_ADJECTIF_CARDINAL_PREDICATIF_NOMINATIF
Akp-2	L_GE_ADJECTIF_CARDINAL_PREDICATIF_GENITIF
Akp-3	L_GE_ADJECTIF_CARDINAL_PREDICATIF_DATIF
Akp-4	L_GE_ADJECTIF_CARDINAL_PREDICATIF_ACCUSATIF
Andk1	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_COMPARATIF_NOMINATIF
Andk2	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_COMPARATIF_GENITIF
Andk3	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_COMPARATIF_DATIF
